observation_date,EXCHUS
2017-01-01,6.8907
2017-02-01,6.8694
2017-03-01,6.8940
2017-04-01,6.8876
2017-05-01,6.8843
2017-06-01,6.8066
2017-07-01,6.7694
2017-08-01,6.6670
2017-09-01,6.5690
2017-10-01,6.6254
2017-11-01,6.6200
2017-12-01,6.5932
2018-01-01,6.4233
2018-02-01,6.3183
2018-03-01,6.3174
2018-04-01,6.2967
2018-05-01,6.3701
2018-06-01,6.4651
2018-07-01,6.7164
2018-08-01,6.8453
2018-09-01,6.8551
2018-10-01,6.9191
2018-11-01,6.9367
2018-12-01,6.8837
2019-01-01,6.7863
2019-02-01,6.7367
2019-03-01,6.7119
2019-04-01,6.7161
2019-05-01,6.8519
2019-06-01,6.8977
2019-07-01,6.8775
2019-08-01,7.0629
2019-09-01,7.1137
2019-10-01,7.0961
2019-11-01,7.0199
2019-12-01,7.0137
2020-01-01,6.9184
2020-02-01,6.9967
2020-03-01,7.0205
2020-04-01,7.0708
2020-05-01,7.1016
2020-06-01,7.0816
2020-07-01,7.0041
2020-08-01,6.9270
2020-09-01,6.8106
2020-10-01,6.7254
2020-11-01,6.6029
2020-12-01,6.5393
2021-01-01,6.4672
2021-02-01,6.4601
2021-03-01,6.5109
2021-04-01,6.5186
2021-05-01,6.4321
2021-06-01,6.4250
2021-07-01,6.4763
2021-08-01,6.4768
2021-09-01,6.4563
2021-10-01,6.4172
2021-11-01,6.3889
2021-12-01,6.3693
2022-01-01,6.3556
2022-02-01,6.3436
2022-03-01,6.3446
2022-04-01,6.4310
2022-05-01,6.6990
2022-06-01,6.6952
2022-07-01,6.7352
2022-08-01,6.8007
2022-09-01,7.0195
2022-10-01,7.1902
2022-11-01,7.1812
2022-12-01,6.9717
2023-01-01,6.7904
2023-02-01,6.8380
2023-03-01,6.8909
2023-04-01,6.8876
2023-05-01,6.9854
2023-06-01,7.1614
2023-07-01,7.1863
2023-08-01,7.2486
2023-09-01,7.2979
2023-10-01,7.3071
2023-11-01,7.2226
2023-12-01,7.1402
2024-01-01,7.1707
2024-02-01,7.1935
2024-03-01,7.2015
2024-04-01,7.2374
2024-05-01,7.2327
2024-06-01,7.2547
2024-07-01,7.2609
2024-08-01,7.1475
2024-09-01,7.0760
2024-10-01,7.0881
2024-11-01,7.2063
2024-12-01,7.2807
2025-01-01,7.2957
2025-02-01,7.2734
2025-03-01,7.2493
2025-04-01,7.2968
2025-05-01,7.2166
2025-06-01,7.1804
